Treatment ID,Plot Number,Depth,Tray ID,Unique Indicator,%N,%C,Sample Weight,C:N,,Note,Chex,If Dupes %Difference
C6,5,10-20,H7,1,0.1934032,1.495779,14.902,7.733993026,,,,
C6,5,0-10,E1,2,0.2513564,2.3861,15.024,9.492895347,,,,
C6,4,0-10,D8,3,0.2558058,2.384116,14.96,9.320023236,,,,
C6,1,10-20,D5,4,0.1818295,1.538315,14.916,8.460205852,,,,
C6,2,10-20,D3,5,0.2208829,1.947067,"15,175",8.814928634,,,,
C6,2,0-10,E3,6,0.2595397,2.407195,15.057,9.274862381,,,,
C6,3,10-20,D12,7,0.2177168,2.009145,15.009,9.228249726,,,,
C6,4,10-20,D10,8,0.2014049,1.848844,15.021,9.179736938,,,,
C6,1,0-10,D6,9,0.2253039,2.092596,14.923,9.287881834,,,,
C6,3,0-10,D2,10,0.2481735,2.378297,"15,001",9.58320288,,,,
C5,2,10-20,E2,11,0.1321017,1.076128,15.025,8.146208565,,,,
C5,5,10-20,D11,12,0.1215994,0.9315026,14.972,7.660421022,,,,
C5,5,0-10,D7,13,0.2217764,2.061211,15.012,9.294095314,,,,
C5,5,10-20,D4,14,0.14186,1.016606,15.073,7.166262512,,,,
C5,1,0-10,D1,15,0.1488473,1.187155,14.959,7.975656932,,,,
C5,1,10-20,D9,16,0.1533635,1.281513,14.935,8.356049516,,,,
C5,2,0-10,E6,17,0.2037368,1.877166,15.027,9.213681573,,,,
C5,2,0-10,C10,18,0.1807081,1.639381,14.998,9.071984045,,,,
C5,5,0-10,C11,19,0.2228442,2.139885,14.862,9.602605767,,,,
C5,3,0-10,C7,20,0.2399033,2.3064,15.023,9.61387359,,,,
C5,4,0-10,C4,21,0.3356346,3.518967,14.951,10.48451798,,,,
C5,2,10-20,B2,22,0,1.258602,16.675,#DIV/0!,,Do-Over,,
C5,3,10-20,E5,23,0.135824,1.070008,15.096,7.877900813,,,,
C5,5,0-10,E10,24,0.1718992,1.458941,15.034,8.487189004,,,,
C5,4,0-10,F12,25,0.1381623,1.095283,15.039,7.927509892,,,,
C5,4,10-20,B10,26,0.1534658,1.264541,15.055,8.239887975,,,,
C5,4,10-20,F11,27,0.146042,1.190174,15.077,8.149532326,,,,
C5,3,10-20,F9,28,0.1644163,1.202703,14.979,7.314986409,,,,
C4,4,10-20,F10,29,0.2096455,2.002434,14.932,9.551523882,,,,
C4,,,E11,30,0.167744,1.601556,15.052,9.547620183,,Go Back in Records and fill in ,,
C4,5,0-10,B9,31,0.3117195,3.38299,14.963,10.85267364,,,,
C4,3,10-20,F6,32,0.2015877,2.107767,15.06,10.45583138,,,,
C4,4,0-10,F8,33,0.2608849,2.813135,15.026,10.7830503,,,,
C4,2,0-10,F7,34,0.259817,2.833377,14.882,10.90527949,,,,
C4,3,0-10,F5,35,0.2677149,2.667445,14.935,9.963752484,,,,
C4,2,10-20,G4,36,0.3092315,2.881103,15.073,9.316977734,,,,
C4,1,0-10,E7,37,0.1860545,1.993281,14.946,10.71342537,,,,
C4,1,10-20,A1,38,0.2002057,2.068346,14.911,10.33110446,,,,
C3,1,0-10,A5,39,0.1012492,2.249518,14.909,22.21763728,,,,
C3,1,10-20,A3,40,0.2480381,1.767209,14.983,7.124748174,,,,
C3,2,0-10,E9,41,0.2422118,1.717155,15.035,7.089477061,,,,
C3,2,10-20,B1,42,0.081086,1.414018,19.829,17.4384974,,,,
C3,3,0-10,A5,43,0.1393175,3,13.211,20.41472895,,,,
C3,3,10-20,A6,44,0.2235449,1.350969,15.164,6.043389941,,,,
C3,4,0-10,A7,45,0.2365403,1.578007,15.106,6.671197255,,,,
C3,4,10-20,A8,46,0.2722328,1.875024,14.949,6.887575634,,,,
C3,5,0-10,A9,47,0.2741109,1.858193,15.101,6.778982521,,,,
,5,10-20,,48,,,,,,,,
C1,1,0-10,A11,49,0.2279874,1.734188,14.892,7.606508079,,,,
C1,1,10-20,F2,50,0.1951822,1.458522,15.94,7.472617892,,,,
C1,2,0-10,B1,51,0.1897141,1.625725,15.03,8.569341973,,,,
C1,2,10-20,B2,52,0.1425322,1.166298,15.044,8.182698366,,,,
