"","Date","Treatment.ID","Treatment","Site","Bucket.ID","Tray_wt","Tray_wet_soil_wt","Tray_dry_soil_wt","Wet.Soil","Dry.Soil","Soil.Moisture.Loss","Note","pc_water"
"1",2019-02-20,"T5","T","5","1",NA,NA,NA,6.9659,5.5073,1.4586,"",0.264848473843807
"2",2019-02-20,"T5","T","5","2",NA,NA,NA,4.0944,3.1286,0.9658,"",0.308700377165505
"3",2019-02-20,"T5","T","5","3",NA,NA,NA,5.7846,4.495,1.2896,"",0.286896551724138
"4",2019-02-20,"T5","T","5","4",NA,NA,NA,4.684,3.5759,1.1081,"",0.309880030202187
"5",2019-02-20,"T5","T","5","5",NA,NA,NA,5.7327,4.4202,1.3125,"",0.296932265508348
"6",2019-02-20,"C5","C","5","8",NA,NA,NA,6.2927,4.6801,1.6126,"",0.344565287066516
"7",2019-02-20,"C5","C","5","9",NA,NA,NA,5.9447,4.5908,1.3539,"",0.29491591879411
"8",2019-02-20,"C5","C","5","10",NA,NA,NA,7.0783,5.4343,1.644,"",0.302522864030326
"9",2019-02-20,"C6  ","C","6","3",NA,NA,NA,6.3754,4.8804,1.495,"",0.306327350217195
"10",2019-02-20,"C6  ","C","6","5",NA,NA,NA,5.9138,4.5895,1.3243,"",0.288549950975052
"11",2019-02-20,"C6  ","C","6","9",NA,NA,NA,5.627,4.4061,1.2209,"",0.27709312090057
"12",2019-02-20,"C6  ","C","6","10",NA,NA,NA,5.6104,4.4142,1.1962,"",0.270989080694123
"13",2019-02-20,"T6","T","6","1",NA,NA,NA,7.3858,5.7603,1.6255,"",0.282190163706751
"14",2019-02-20,"T6","T","6","2",NA,NA,NA,6.2578,4.883,1.3748,"",0.281548228548024
"15",2019-02-20,"T6","T","6","4",NA,NA,NA,5.8633,4.6856,1.1777,"",0.251344544988902
"16",2019-02-20,"T6","T","6","6",NA,NA,NA,6.4645,5.0762,1.3883,"",0.273491982191403
"17",2019-02-20,"T6","T","6","8",NA,NA,NA,6.8553,5.4183,1.437,"",0.265212335972538
"18",2019-03-13,"C1","C","1","1",NA,NA,NA,2.8524,2.4115,0.4409,"",0.182832262077545
"19",2019-03-13,"C1","C","1","4",NA,NA,NA,8.8426,7.5453,1.2973,"",0.171934846858309
"20",2019-03-13,"C1","C","1","6",NA,NA,NA,3.5332,3.0019,0.5313,"",0.176987907658483
"21",2019-03-13,"C1","C","1","10",NA,NA,NA,5.3878,4.536,0.8518,"",0.187786596119929
"22",2019-03-13,"T1","T","1","2",NA,NA,NA,5.9478,4.948,0.9998,"",0.202061438965238
"23",2019-03-13,"T1","T","1","3",NA,NA,NA,2.4024,1.9625,0.4399,"",0.224152866242038
"24",2019-03-13,"T1","T","1","5",NA,NA,NA,2.0242,1.6545,0.3697,"",0.223451193714113
"25",2019-03-13,"T1","T","1","7",NA,NA,NA,6.1187,4.9095,1.2092,"",0.246297993685711
"26",2019-03-13,"T1","T","1","9",NA,NA,NA,2.6277,2.1386,0.4891,"",0.228701019358459
"27",2019-03-13,"C2","C","2","2",NA,NA,NA,2.9136,2.4186,0.495,"",0.204663855122798
"28",2019-03-13,"C2","C","2","3",NA,NA,NA,2.9502,2.3322,0.618,"High clay difficult to pass sieve",0.264985850270131
"29",2019-03-13,"C2","C","2","5",NA,NA,NA,7.1657,5.5569,1.6088,"HIgh clay difficult to pass sieve",0.289513937627094
"30",2019-03-13,"C2","C","2","7",NA,NA,NA,3.6622,2.9348,0.7274,"",0.247853346054246
"31",2019-03-13,"C2","C","2","9",NA,NA,NA,3.5882,2.8758,0.7124,"High clay difficult to pass sieve",0.247722372904931
"32",2019-03-13,"T2","T","2","1",NA,NA,NA,1.3216,1.0795,0.2421,"",0.224270495599815
"33",2019-03-13,"T2","T","2","8",NA,NA,NA,1.6099,1.2895,0.3204,"",0.24846839860411
"34",2019-03-13,"T2","T","2","4",NA,NA,NA,1.6265,1.3059,0.3206,"",0.245501186920897
"35",2019-03-13,"T2","T","2","6",NA,NA,NA,2.4542,1.9582,0.496,"",0.253293841282811
"36",2019-03-13,"T2","T","2","10",NA,NA,NA,1.7768,1.4137,0.3631,"",0.256843743368466
"37",2019-04-01,"T3","T","3","1",NA,NA,NA,1.4676,1.2257,0.2419,"",0.197356612547932
"38",2019-04-01,"T3","T","3","2",NA,NA,NA,1.849,1.5952,0.2538,"",0.159102306920762
"39",2019-04-01,"T3","T","3","3",NA,NA,NA,3.0408,2.466,0.5748,"",0.2330900243309
"40",2019-04-01,"T3","T","3","5",NA,NA,NA,3.2122,2.687,0.5252,"High clay difficult to pass sieve",0.195459620394492
"41",2019-04-01,"T3","T","3","10",NA,NA,NA,2.0401,1.8261,0.214,"",0.117189639121625
"42",2019-04-01,"C3","C","3","9",NA,NA,NA,2.0651,1.8451,0.22,"",0.119234729824942
"43",2019-04-01,"C3","C","3","2",NA,NA,NA,2.9718,2.5605,0.4113,"",0.160632688927944
"44",2019-04-01,"C3","C","3","5",NA,NA,NA,2.5169,2.1682,0.3487,"",0.16082464717277
"45",2019-04-01,"C3","C","3","4",NA,NA,NA,2.1239,1.7949,0.329,"",0.183297119616692
"46",2019-04-01,"C3","C","3","8",NA,NA,NA,1.2885,1.021,0.2675,"",0.261998041136141
"47",2019-04-04,"T5","T","5","1",NA,NA,NA,3.8553,3.2559,0.5994,"",0.184096563162259
"48",2019-04-04,"T5","T","5","6",NA,NA,NA,1.8638,1.6178,0.246,"",0.152058350846829
"49",2019-04-04,"T5","T","5","8",NA,NA,NA,2.2011,1.8973,0.3038,"",0.160122279028093
"50",2019-04-04,"T5","T","5","9",NA,NA,NA,1.4664,1.3093,0.1571,"",0.119987779729627
"51",2019-04-04,"C5","C","5","2",NA,NA,NA,2.6472,2.3867,0.2605,"",0.109146520299996
"52",2019-04-04,"C5","C","5","3",NA,NA,NA,1.3699,1.216,0.1539,"",0.1265625
"53",2019-04-04,"C5","C","5","4",NA,NA,NA,2.9789,2.7023,0.2766,"",0.102357251230433
"54",2019-04-04,"C5","C","5","5",NA,NA,NA,1.3085,1.1421,0.1664,"",0.145696523947115
"55",2019-04-04,"C5","C","5","7",NA,NA,NA,2.8299,2.5528,0.2771,"",0.10854747727985
"56",2019-04-04,"T4","T","4","10",NA,NA,NA,1.672,1.5515,0.1205,"",0.0776667740895907
"57",2019-04-04,"T4","T","4","2",NA,NA,NA,2.9596,2.4177,0.5419,"",0.224138644165943
"58",2019-04-04,"T4","T","4","3",NA,NA,NA,2.0621,1.7359,0.3262,"",0.187914050348522
"59",2019-04-04,"T4","T","4","7",NA,NA,NA,1.9642,1.6331,0.3311,"",0.202743249035577
"60",2019-04-04,"C4","C","4","1",NA,NA,NA,1.6274,1.2449,0.3825,"",0.307253594666238
"61",2019-04-04,"C4","C","4","6",NA,NA,NA,1.1719,0.9074,0.2645,"",0.29149217544633
"62",2019-04-04,"C4","C","4","8",NA,NA,NA,1.3742,1.1029,0.2713,"",0.245987850213075
"63",2019-04-04,"C4","C","4","9",NA,NA,NA,1.0377,0.8279,0.2098,"",0.253412247856021
"64",2019-04-18,"C3","C","3","4",NA,NA,NA,3.5033,3.2366,0.2667,"",0.0824012852993882
