date,std ppm,co2mV,co2mmol/mol,component,"qc analysis time(beg,mid,end)",Equation,RSQ,,,,,,,,,,,,,,,,,,,
3/15/2019,0,0,,,,y=.2418x+16.979,,,,,,,,,,,,,,,,,,,,
3/15/2019,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,500,129.25,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,500,129.12,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,500,130.12,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,1000.5,253.37,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,1000.5,255.37,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,1000.5,254.75,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,5000,1084.1,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,5000,1089.7,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2019,5000,1084.7,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,0,0,,,,y=.214x+16.111,,,,,,,,,,,,,,,,,,,,
4/3/2019,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,500,127.37,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,500,127.25,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,500,126.87,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,1000.5,252.25,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,1000.5,253,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,1000.5,252.25,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,5000,1083.7,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,5000,1079.7,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2019,5000,1080.2,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,0,0,,,,y=.2124x+22.366,,,,,,,,,,,,,,,,,,,,
4/5/2019,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,500,128.87,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,500,128.37,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,500,128.87,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,1000.5,252.75,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,1000.5,254.25,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,1000.5,252.87,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,5000,1085.2,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,5000,1079.1,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2019,5000,1077,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,0,0,,,,y=.211x+23.564,,,,,,,,,,,,,,,,,,,,
4/19/2019,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,1000.5,249.75,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,1000.5,250.75,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,1000.5,248.12,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,2500,572.5,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,2500,569.5,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,2500,533.87,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,5000,1081.3,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,5000,1073.1,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2019,5000,1060.7,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2019,0,0,,,,y=.2144x+7.2554,,,,,,,,,,,,,,,,,,,,
4/25/2019,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2019,2500,582.87,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2019,2500,580.87,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2019,2500,495.12,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2019,5000,1079,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2019,5000,1071.6,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2019,5000,1072.8,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,0,0,,,,y=.2074x+29.628,,,,,,,,,,,,,,,,,,,,
5/10/2019,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,1000.5,244.75,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,1000.5,244.5,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,1000.5,248.87,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,2500,576.37,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,2500,573.25,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,2500,571.12,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,5000,1058.6,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,5000,1049.7,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2019,5000,1049,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,0,-2.493,,co2,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,0,-2.664,,co2,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,0,-2.749,,co2,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,500,225,,co2,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,500,224.12,,co2,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,500,225.12,,co2,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,1000.5,568.37,,co2,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,1000.5,570.25,,co2,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,1000.5,571.25,,co2,,y=.2291x-3.336,0.98613915,,,,,,,,,,,,,,,,,,,
10/25/2019,,7,,co2,,,,,,,,,,,,,,,,,,,,,,
10/25/2019,0,4.25,,co2,,,,,,,,,,,,,,,,,,,,,,
10/25/2019,0,4.125,,co2,,,,,,,,,,,,,,,,,,,,,,
10/25/2019,0,7.375,,co2,,,,,,,,,,,,,,,,,,,,,,
