Date,Treatment ID,Treatment,Site,Bucket ID,Tray_wt,Tray_wet_soil_wt,Tray_dry_soil_wt,Wet Soil,Dry Soil ,Soil Moisture Loss,Note,,,,,,,,,,,,,,
2019-02-20,T5,T,5,1,,,,6.9659,5.5073,1.4586,,,,,,,,,,,,,,,
2019-02-20,T5,T,5,2,,,,4.0944,3.1286,0.9658,,,,,,,,,,,,,,,
2019-02-20,T5,T,5,3,,,,5.7846,4.4950,1.2896,,,,,,,,,,,,,,,
2019-02-20,T5,T,5,4,,,,4.6840,3.5759,1.1081,,,,,,,,,,,,,,,
2019-02-20,T5,T,5,5,,,,5.7327,4.4202,1.3125,,,,,,,,,,,,,,,
2019-02-20,C5,C,5,6,,,,NA,NA,NA,Lost some material after final drying ,,,,,,,,,,,,,,
2019-02-20,C5,C,5,7,,,,NA,NA,NA,Sample lost in field,,,,,,,,,,,,,,
2019-02-20,C5,C,5,8,,,,6.2927,4.6801,1.6126,,,,,,,,,,,,,,,
2019-02-20,C5,C,5,9,,,,5.9447,4.5908,1.3539,,,,,,,,,,,,,,,
2019-02-20,C5,C,5,10,,,,7.0783,5.4343,1.6440,,,,,,,,,,,,,,,
2019-02-20,C6  ,C,6,3,,,,6.3754,4.8804,1.4950,,,,,,,,,,,,,,,
2019-02-20,C6  ,C,6,5,,,,5.9138,4.5895,1.3243,,,,,,,,,,,,,,,
2019-02-20,C6  ,C,6,9,,,,5.6270,4.4061,1.2209,,,,,,,,,,,,,,,
2019-02-20,C6  ,C,6,10,,,,5.6104,4.4142,1.1962,,,,,,,,,,,,,,,
2019-02-20,T6,T,6,1,,,,7.3858,5.7603,1.6255,,,,,,,,,,,,,,,
2019-02-20,T6,T,6,2,,,,6.2578,4.8830,1.3748,,,,,,,,,,,,,,,
2019-02-20,T6,T,6,4,,,,5.8633,4.6856,1.1777,,,,,,,,,,,,,,,
2019-02-20,T6,T,6,6,,,,6.4645,5.0762,1.3883,,,,,,,,,,,,,,,
2019-02-20,T6,T,6,8,,,,6.8553,5.4183,1.4370,,,,,,,,,,,,,,,
2019-03-13,C1,C,1,1,,,,2.8524,2.4115,0.4409,,,,,,,,,,,,,,,
2019-03-13,C1,C,1,4,,,,8.8426,7.5453,1.2973,,,,,,,,,,,,,,,
2019-03-13,C1,C,1,6,,,,3.5332,3.0019,0.5313,,,,,,,,,,,,,,,
2019-03-13,C1,C,1,8,,,,NA,NA,NA,Input Error,,,,,,,,,,,,,,
2019-03-13,C1,C,1,10,,,,5.3878,4.5360,0.8518,,,,,,,,,,,,,,,
2019-03-13,T1,T,1,2,,,,5.9478,4.9480,0.9998,,,,,,,,,,,,,,,
2019-03-13,T1,T,1,3,,,,2.4024,1.9625,0.4399,,,,,,,,,,,,,,,
2019-03-13,T1,T,1,5,,,,2.0242,1.6545,0.3697,,,,,,,,,,,,,,,
2019-03-13,T1,T,1,7,,,,6.1187,4.9095,1.2092,,,,,,,,,,,,,,,
2019-03-13,T1,T,1,9,,,,2.6277,2.1386,0.4891,,,,,,,,,,,,,,,
2019-03-13,C2,C,2,2,,,,2.9136,2.4186,0.4950,,,,,,,,,,,,,,,
